src,tgt,hyp,ref,task,label
"You seem a bit out of it lately , have you been smoking <define> rocks </define> again ?",(slang) Crack cocaine.,(slang) Marijuana.,tgt,DM,1
"She copied the whole alphabet like that , as though only the inside <define> whites </define> of the letters registered on her mind .","The enclosed part of a letter of the alphabet, especially when handwritten.",(informal) The white part of a letter.,tgt,DM,1
"A visitor may well be baffled by “ pony keg ” and “ <define> jack salmon </define> , ” but Cincinnatians know that the first is a store where beer may be purchased and the second is deep - fried pike .","(Midwestern US, colloquial) Sander vitreus.",(colloquial) A deep-fried pike.,tgt,DM,1
"More importantly , it is highly context dependent : ( a ) certain text types ( such as advertising copy ) seem to license bare <define> mediopassives </define> more than others ( see Section 6.4.1 ) , ( b ) contextually implied contrast may enable an inherent property reading of a bare mediopassive ( see Sections 6.4.2.1 and 6.4.2.2 ) , or the verb itself might foster bare mediopassive use ( this seems to be the case with denominal verbs like zip , button , bolt , or clamp , see Goldberg and Ackerman 2001 : 806 ) .",(grammar) A mediopassive construction; a phrase that uses the mediopassive voice.,(linguistics) A word that is not a noun.,tgt,DM,1
The problem is that the area is grey so far as the authorities are concerned and it is difficult to know where to draw the line between a nutriceutical or <define> pharmafood </define> and a medicinal drug substance .,A food supposed to have health benefits; a nutraceutical.,(uncountable) Medicinal food.,tgt,DM,1
"While some experts say these girls likely have body image issues or could develop a more serious eating disorder , <define> wannarexics </define> usually range between healthy and overweight .","(pejorative, slang) One who does not have the eating disorder anorexia nervosa, but wishes to.",(informal) A person who wants to be a member of the female subculture of wannarexics.,tgt,DM,1
""" You will soon be all right , my fine fellow , "" said the London surgeon reassuringly . He was renowned for his sympathetic <define> bedside manner </define> .","The ability of a doctor, medic, nurse, or other healthcare professional, to interact with his or her patients. [from 19th c.]",(idiomatic) The manner in which a person conducts himself or herself at a bedside.,tgt,DM,1
Its pathological nature is constituted by its perpetuation into an inappropriate movement which the conviction of its <define> mutility </define> can not abolish .,"(rare) deformity, defectivity",(uncountable) The state of being mutilated.,tgt,DM,1
"It is not supposed that there is now , or that there ever was a man in Madison county who would willfully lie to hurt a fellow - man , or even to enhanced his own interests , but for your spinning yarns and big story telling , she has had some "" <define> hummers </define> . ""","(slang, obsolete) A lie or tall tale.",(slang) A lie.,tgt,DM,0
"I told him about my plan , and he agreed that the gobblers must be <define> henned up </define> and that moving might be a good idea .",Alternative form of henned-up,"(transitive, colloquial) To prepare (someone or something) for a difficult situation.",tgt,DM,1
"The <define> ruibe </define> is then cut and eaten while still frozen , and served with soy sauce and fresh wasabi .","An Ainu dish of salmon that is frozen outdoors, sliced like sashimi, and served with soy sauce and water peppers.","(uncountable, cooking) A type of Japanese soup made from soybeans, rice, and other ingredients.",tgt,DM,1
a <define> whaleboned </define> corset,Reinforced with whalebone.,Having whalebones.,tgt,DM,0
"He watches the flickering black lights , as they <define> deluminate </define> , the world around him .",To extinguish a light; to darken.,(intransitive) To become illuminated.,tgt,DM,1
"However , certain objects are excluded from being treated as a gun . These include a longbow , crossbow , slingshot or <define> shanghai </define> even though it is capable of propelling a projectile by means of an explosive force .","(AU, NZ) Synonym of slingshot.",Alternative form of shanghai (“weapon”),tgt,DM,0
[ … ]   he turned his resourceful mind away from the serene life of a don on grass lawns in Cambridge to one of <define> self - sacrifice </define> and pure devotion in the thorny bushes of Africa .,The giving up of one's own benefit for the good of others.,The act of self-sacrifice.,tgt,DM,0
"Every thing of that sort appears to be at present no better than it is with us in a country - town : or rather it wants the simplicity and rustic innocence , and is more like the <define> draggled - tailed </define> finery of a lady ’s waiting - maid .","(of a person or other animal, or of clothing) Slatternly, untidy, unkempt.",Alternative form of draggled,tgt,DM,1
"Revealingly , two of the contenders announced this week for the Art Fund museum of the year prize - the Sackler Centre at the V&A in London and the National Trust Museum of Childhood in Derbyshire - are heavily interactive , while a third <define> shortlistee </define> , the Museum of Reading , boxed up its exhibits and allowed them to be displayed in workplaces and public buildings .",A person or thing that is on a shortlist,One who has been shortlisted.,tgt,DM,0
"Selection affecting the melanization threshold could likewise reduce patch number , which should occur in the reverse order ( loss of rump patch followed by loss of crown stripe and finally loss of <define> wing bar </define> .",A band of contrasting color or of feathers with a distinct appearance that crosses a bird's wing.,Alternative form of wing bar,tgt,DM,1
We say nothing of the <define> pulpitish </define> and dogmatic tone which seems never so far to forget itself as to drop down into the easy accents of friend talking with friend .,Of or pertaining to the pulpit; like preaching.,Resembling or characteristic of a pulpit,tgt,DM,0
""" Do n't I know that it is you who is the <define> life </define> of this house . Two delightful children ! """,The most lively component or participant.,(figuratively) Someone or something that is important or important.,tgt,DM,1
"The pastry room was a further revelation . Six young girls in white coats and white hats were dusting white flour over small pre - formed pastry lids , which were then glued onto cups of uncooked short crust filled with <define> pink slime </define> .","Used other than figuratively or idiomatically: see pink,‎ slime. Slime which is pink.","(uncountable, cooking) A mixture of flour, sugar, and water used to make short crust pastry.",tgt,DM,1
Brokerage 1½ per Cent . <define> Shroffage </define> 1 per Thousand .,(historical) The commission paid to a shroff for examining coins for quality.,(obsolete) Shroffage.,tgt,DM,0
"Suddenly , something Henry said caught my attention . “ Where 'd you get these boxes of <define> puffcorn </define> ? ” he asked . “ This stuff has no taste at all ! ”","A corn snack, visually similar to popcorn, but made with corn meal and baked.","(Australia, New Zealand, informal) Corn pudding.",tgt,DM,1
Faithful to whom ? to thy rebellious <define> crew </define> ?,(obsolete) Any company of people; an assemblage; a throng.,(obsolete) A group of people.,tgt,DM,0
"His hands had made a <define> dint </define> , and hurt his maid ; / Explored her limb by limb , and feared to find / So rude a gripe had left a livid mark behind .",The mark left by a blow; an indentation or impression made by violence; a dent.,"(now, _, rare) A small injury. [from 16th c.]",tgt,DM,1
Quite possibly because infotech and <define> infosociety </define> have made the future unappealing and created a reaction against the future ...,An information society.,(informal) A society based on information technology.,tgt,DM,1
Nuclear protein extracts were prepared from endothelial tube cells using an adapted 1 - h <define> minipreparation </define> technique [ 12 ] .,small-scale preparation of plasmid DNA,Alternative form of minipreparation,tgt,DM,1
"I 'm no used to your grandees , and I 'm no <define> gawn </define> to begin to learn fashionable mainners noo — so dinna ask me — I 'm no gawn to mak a fule o ' mysel ' at this time o ' day .",(pronunciation spelling) Eye dialect spelling of certain regional pronunciations of going.,"(Scotland, Northern England, Northern Ireland, Northern England, Northern England, Scotland, Northern England, Northern England, Northern Ireland, Northern England, Scotland) Used as an intensifier.",tgt,DM,1
"His teachers could to some extent restrain such an inclination , but they could not or certainly did not replace it by a <define> counterenthusiasm </define> in favour of Christianity .",An enthusiasm that counters or goes against another enthusiasm.,The state or quality of being counterenthusiastic.,tgt,DM,0
"The latter and the Basle - Gotthard freight traffic will both pass through Othmarsingen , but an additional line here and a <define> burrowing junction </define> will keep the Gotthard freights clear .","(rail) A junction where the diverging line descends to a level where it can pass under the main line, the purpose being the avoidance of conflicting movements.",(rail) A junction where two or more railway lines meet.,tgt,DM,1
"The assumption in the public mind was that anyone who bought a <define> wooden nutmeg </define> was a fool who should have known better than to fall for a trick .   But because the real as a cultural value is no longer being privileged over the artificial , this simple assumption about simulacra has now become a sort of ontological fossil",Synonym of wooden nickel: a worthless item intended to appear like another of value.,Alternative form of wooden nutmeg,tgt,DM,1
I predicted that “ we can anticipate such a description of <define> noncanine </define> involvement . ”,Not canine.,Not canine.,tgt,DM,0
Three elders dressed in their long silk ceremonial gowns perform the <define> kowtow </define> before the altar in their clan ancestral hall .,The act of kowtowing.,(uncountable) The act of bending one's knees or bending one's head in prayer.,tgt,DM,0
"First , to convince the world of their <define> misopinion </define> of Gods servants .",(obsolete) A wrong opinion.,The state of being misopinioned.,tgt,DM,1
"Most animals have no desire for <define> contrectation </define> . In man the impulse of contrectation is the more important . If the individual practises total abstinence , i. e. , if he abstains even from the gratification of the impulse of contrectation , then   ...","(medical, legal) The initial stage of the sexual act involving manual contact and tumescence; sexual foreplay.",(uncountable) The state of being contorted.,tgt,DM,1
"I will retire to my <define> oratory </define> , and pray to the blessed Virgin to inspire you with her holy counsels   [ … ] .",A private chapel or prayer room. [from 14th c.],(Christianity) A place of prayer or meditation.,tgt,DM,0
"As nominations continue , Hakeem and his crew at Lyon Dynasty are expecting a nom for Rapper of the Year . He ’s <define> gooped </define> though when Freda Gatz gets nominated instead of him .","(slang) Amazed, stunned, or shocked (whether by something positive or negative). [from 2015]","(slang, transitive) To be excited about (something).",tgt,DM,1
"This was the ultimate <define> sandbox game </define> . By providing a simple , yet rich simulation , it gave the user the tools with which to create his own fun .","(video games, RPG) A game with no linear storyline or specific goal, the player deriving amusement from a range of open-ended interactions or situations.",(video games) A video game that allows the player to create their own environment.,tgt,DM,1
"Do they employ an <define> undershift </define> ? Overshift ? If they do undershift or overshift the line , is it a half - man or full - man over- shift or undershift ?",(sports) The strategy or act of positioning defensive players extra far toward the offense's weak side.,Alternative form of undershift,tgt,DM,1
"Melittid bees have “ hair felt ” patches on their legs that take up floral oils by capillarity , while the unusual <define> ctenoplectrids </define> have abdominal oil - mopping hairs .","(zoology) Any bee of the tribe Ctenoplectrini (especially when the latter is, as formerly by some, regarded as the family Ctenoplectridae).",(zoology) Any bee of the family Ctenoplectridae.,tgt,DM,0
Wanna be hackers ?   Code crackers ?   Slackers ? Wastin ' time with all the chat room <define> yakkers </define> ?,(slang) One who yaks; a chatterbox or motormouth.,One who yakks.,tgt,DM,0
"Alternatively , they can drop their tokens into games of chance — basically , slot machines <define> with training wheels </define> .",Designed or adapted for children.,(informal) A gambling machine with a limited number of spins.,tgt,DM,1
"The name above the door is F. Dula . Under the circumstances , an interest <define> piquer </define> .",One who piques.,(figuratively) Something that piques one's interest.,tgt,DM,0
"The president sits in a <define> thronelike </define> seat , and the front passenger seat is reserved for the chief of security .",Resembling or characteristic of a throne.,Resembling a throne.,tgt,DM,0
"Or ever with me the maw of the sepulchre fed becometh , Or e'er in the dust each part of my frame <define> forspread </define> becometh ,   [ … ]","(ambitransitive, now, _, chiefly, _, dialectal) To spread; extend.","(obsolete, transitive) To spread out; to spread out.",tgt,DM,1
"Ely 's method was to enlarge himself by praising up his cousin and to pleasure himself by <define> horrorizing </define> the men with true faithful portrayals of pirates caught and hanged ,   [ … ]",(transitive) To fill with horror.,(transitive) To frighten; to terrify.,tgt,DM,0
"Not only Cato is vanquished by Caesar , but the treachery and <define> perfidiousness </define> of Syphax prevail over the honest simplicity and the credulity of Juba .",(rare) Unfaithfulness; deceitfulness; perfidy.,The quality of being perfidious.,tgt,DM,0
She giggled . ' You do n't make me feel sick . You make me sort of <define> churny </define> in my stomach . ',Characteristic of churning; (by extension) queasy,(informal) Having a churning sensation.,tgt,DM,1
"Harrison said he had such a horror of <define> facing points </define> that for many years in the 160 miles between York and Berwick there were , except in Darlington and Newcastle stations , only three examples . [ ... ] For some years now facing points have been practically as safe as any other part of the track and are regularly taken at high speed .",(rail transport) A set of points at which two routes diverge in the direction of travel.,"(rail, UK) A point on a railway track where the track is level with the ground.",tgt,DM,1
"Look , <define> babber </define> , I reckon there 's been some sort of mistake . I 'm not carrying on with nobody .",A friend.,"(intransitive, slang) To talk idly; to babble.",tgt,DM,1
"<define> Genderswapping </define> on the internet is not , of course , any solution . But Brooker might at least consider its existence , potential , and scope , rather than attributing gender where it is not possible so to do ( Brooker 1999 : 49 ) .","The practice or act of assuming a different sex and/or gender identity than one's actual sex and/or gender identity, especially in a virtual setting.",(internet slang) The practice of attributing gender to people on the Internet.,tgt,DM,0
"The episode ’s unwillingness to fully commit to the pathos of the Bart - and - Laura subplot is all the more frustrating considering its laugh quota is more than filled by a rollicking B - story that finds Homer , he of the iron stomach and insatiable appetite , <define> filing </define> a lawsuit against The Frying Dutchman when he ’s hauled out of the eatery against his will after consuming all of the restaurant ’s shrimp ( plus two plastic lobsters ) .",(transitive) To commit (official papers) to some office.,(transitive) To file (a lawsuit).,tgt,DM,1
Science has the happy distinction of finding a balance between entropy and <define> anentropy </define> : between the need to conserve order with progress .,(uncountable) An increase in order.,(physics) The state of being anentropic.,tgt,DM,1
"They were very big hands , and as Mr. Knewbit held them up side by side , with the palms toward his young shaver , they not <define> undistantly </define> resembled a pair of decent - sized flatfish .",To a degree that is not distant; closely.,In an undistinguished manner.,tgt,DM,1
""" She <define> beflirts </define> herself , like the lady I read , into a Feringhee love tale , at Coney 's Island . In that book story , the lady bewhacked the woo person playsomely on the arm with her fan .",To flirt about; flirt with,(intransitive) To flirt.,tgt,DM,0
"We have seen and heard the sneers and sarcasms with which poor Frank 's unobtrusive attempts to moralize , not tediously , boringly , or <define> cantingly </define> , have been received by Sir George and his eldest son .",In a canting manner; with jargon or religious affectation.,In a canty manner.,tgt,DM,1
"After their yacht runs aground in Australian waters , four of them decide to swim for land but are soon stalked by a huge great white shark . While the story stutters and starts , <define> sharksploitation </define> fans will lap it up .",(film) A genre of exploitation films focusing on sharks and shark attacks.,(informal) The genre of films featuring great white sharks.,tgt,DM,1
What they do in <define> Muslimville </define> is their business .,"(US, informal) An area mainly populated by Muslims.","(informal, derogatory) The Muslim community in the United States.",tgt,DM,1
"[ N]othing gave him so much joy in conversation , as an opportunity of giving the company to understand , how well he was with persons of distinguished rank and character : he would often ( for example ) observe , as it were <define> occasionally </define> , that the duke of G — was one of the best natured men in the world   [ … ] .",(obsolete) By chance; accidentally. [17th–18th c.],In an occasional manner.,tgt,DM,1
"In Rome the cardinals wear the mozzetta over the <define> mantelletta </define> , except in their titular churches , when it is worn immediately over the rochet .","(Roman Catholicism) A sleeveless, knee-length vestment open at the front which is worn by Roman Catholic prelates.",(historical) A type of vestment worn by cardinals in the Middle Ages.,tgt,DM,1
""" My patients read so much shit they think they ca n't make a <define> crotch fruit </define> after they turn thirty , ""   [ … ]","(slang, derogatory) A child; offspring.","(slang, vulgar) A penis.",tgt,DM,1
"It can easily be verified that the above relation is a <define> preorder </define> , i.e. that it is reflexive and transitive .","(set theory, order theory) A binary relation that is reflexive and transitive.",(mathematics) An order that precedes another order.,tgt,DM,1
"Here at The Federalist , we talk about sex a lot as is . Join us this week for some additional fun and deep - thinking about , well , you know — dancing in the sheets , <define> horizontal refreshments </define> , the beast with two backs , Blitzkrieg mit dem fleischgewehr , gland to gland combat , and more .","(idiomatic, euphemistic) Sexual intercourse.",(slang) Sexual intercourse.,tgt,DM,0
"Oh , there was no warmth in the sunlight , and the sky was a <define> drabby </define> gray , and he was filled with bitterness unutterable . ""","pale, lacking color.",Having a drab appearance.,tgt,DM,1
"The circles , which were ablaze with daffodils this spring , are now afloat with airy <define> geum </define> , cosmos , acidanthera and dahlias .",Any of the genus Geum of perennial herbaceous plants.,Any of various flowering plants of the genus Geum.,tgt,DM,0
"[ … ]   abolitionists failed to take into account   [ … ]   the negro 's native <define> creaturism </define> . After their liberation , the negroes mistook license for liberty . They gathered in the towns , gave themselves over to creature pleasures , and forsook the useful habits of duty which slavery had instilled .",animalistic behaviour,(uncountable) The quality or state of being creative.,tgt,DM,1
"A great many of the scapes have furnished examples of "" <define> recrudescence </define> , "" a few flowers having been produced amongst the ripening capsules ; but fresh flower - stalks have also continued to shoot up from the root , and at the time I write ( Oct. 4 ) I see there is one very pretty bunch of flowers upon a last year 's seedling plant .",(botany) The production of a fresh shoot from a ripened spike.,The act or process of recrudescence.,tgt,DM,1
Nothing like a <define> prekindergartener </define> to really boil an issue down to its core .,A child who has not yet begun to attend kindergarten.,(informal) A child who is not yet in kindergarten.,tgt,DM,0
"The boy had dwindled to a skeleton , and the skin lay on his face in <define> crimpled </define> folds , like a mask of black crape .","(archaic) to crumple, crimp",(transitive) To form into a crimped shape.,tgt,DM,0
"Redwire spoke to one bar - hopper who used to frequent <define> lup sup bars </define> in Duxton when , in his words , it was still an area known for cheap pinoy prostitutes , Chinese pei jiu mei ( drinking kaki girls ) and high - class ang moh callgirl [ 1 ]",(Singapore) A seedy bar found in Singapore that offers prostitution.,"(Philippines, slang) A bar that specializes in serving lupus-themed drinks.",tgt,DM,1
"With this formulation , the probability of <define> nonconception </define> is simply the product of the day - specific failure probabilities multiplied across all days where there was intercourse .",A failure to conceive; The aftermath of sexual intercourse in which there is no fertilization of an egg by sperm.,(uncountable) The state of being unable to conceive.,tgt,DM,0
"A friend , who was specially interested in such studies , having captured a spider , erected a column in a basin filled with water ; and placing his <define> spidership </define> on the top of the column , sat down to watch results .",(nonce) honorific used to address or refer to a spider.,The state or condition of being a spider.,tgt,DM,0
"A Hungarian baron , with an <define> unpronounceable </define> name , had that very morning been so struck with Lady Penrhyn 's beauty , that , not knowing she was married , he laid himself , castle , sabre , and fur pelisses at her feet , for immediate acceptance .",Impossible or difficult to pronounce or articulate.,Not pronounceable.,tgt,DM,0
"In that moment , you are experiencing the sadness of <define> iktsuarpok </define> . Then , your special person does appear !","The feeling of anticipation while waiting for someone to arrive, often leading to intermittently going outside to check for them.",Alternative form of iktsuarpok,tgt,DM,0
"After delivery , sellers issue an invoice , recorded as an account receivable by the seller and an <define> account payable </define> by the buyer .",(accounting) A balance due to a creditor on a current account.,(finance) An account receivable.,tgt,DM,1
"[ … ]   I describe them as self - transforming <define> machine elves </define> , for that is how they appear . These entities are dynamically contorting topological modules that are somehow distinct from the surrounding background , which is itself undergoing continuous transformation .   [ … ]   The tryptamine Munchkins come , these hyperdimensional machine - elf entities , and they bathe one in love . It 's not erotic but it is openhearted . It certainly feels good . These beings are like fractal reflections of some previously hidden and suddenly autonomous part of one 's own psyche . And they are speaking , saying , "" Do n't be alarmed . Remember , and do what we are doing . """,A kind of otherworldly humanoid figure sometimes seen during dimethyltryptamine (DMT) hallucinations.,"(fantasy, science fiction) An entity that is capable of changing into a different form.",tgt,DM,1
"If it persists much longer , this era of high joblessness will likely change the life course and character of a generation of young adults   [ … ]   Ultimately , it is likely to <define> warp </define> our politics , our culture , and the character of our society for years .","(transitive) To deflect or turn (something) away from a true, proper or moral course; to pervert; to bias.","(transitive, figuratively) To change (something) so that it is no longer the same; to change (something) so that it is no longer the same.",tgt,DM,1
The <define> New Jersey barrier </define> became the most widely used and gave its name to the generic barrier type .,Alternative form of Jersey barrier,A type of barrier used in New Jersey.,tgt,DM,1
"My rainy - day tour in April during the first lockdown was , in fact , a <define> homage </define> to Sir John Betjeman - the poet and railway campaigner whose statue can be found on the upper concourse of St Pancras station .","(countable, uncountable) A demonstration of respect, such as towards an individual after their retirement or death",(uncountable) The act of paying homage.,tgt,DM,0
I 'll send the file using <define> Wi - Fi </define> .,"(networking, uncountable) Wireless networking using one of these standards.",(computing) Wi-Fi.,tgt,DM,1
"I found myself stranded , <define> lunchless </define> , on the sea - front [ … ]",Without lunch.,Without lunch.,tgt,DM,0
"Strong - willed and good in a crisis , she was exactly the girl Cornel Wilde needed to lance his plague boil and pull him through when the population of London was being <define> bubonically </define> decimated .","In terms of, or by means of, bubonic plague.",In a bubonic manner.,tgt,DM,1
"And treated our fathers like scum , / Those <define> uglisome </define> messiahs that Bade us come , [ ... ]",Characterised or marked by ugliness,(obsolete) Ugly; ugly.,tgt,DM,1
"As above noted , the Blackbird was even a hundred years ago remarkably common in Man , and it is to - day an extremely abundant and widely - spread species , equally at home among the fuchsias and ' <define> trammans </define> ' of a cottage garden   [ … ]",(Manx) An elder tree.,"(countable, botany) A plant of the genus Trammellus.",tgt,DM,1
But the main question was whether the two subgroups of men with <define> femalelike </define> behavioral tendencies made much use of the concept of cooperation ...,Resembling or characteristic of a female.,Resembling or characteristic of a woman.,tgt,DM,0
"There 's no sheen . If you write once on a sheet of paper , it can be read , but when you scribble over and over , the script becomes unreadable . Dip yourself in the acid that cleans copper . Lay out your <define> blackenedness </define> clearly . ""   [ … ]","(rare) The quality, state, or condition of being blackened.",The state of being blackened.,tgt,DM,0
"A dreary year for the Squadron , this 1819 , when officers and men fell sick by the shipload and were sent home by the <define> tenderful </define> , when Lemon Valley Hospital was supplemented by the one at High Peak , when Court - Martials were held at the rate of one a fortnight , burials thrice a week , and surveys on foul provisions every other day !",The quantity that a tender (ship that functions as a mobile base) holds.,(nautical) A tender.,tgt,DM,1
Our valley w d be overrun with London Dublin travellers who will not stop here to view the beauties that are here but will race through on fast and <define> clattersome </define> horses and chaises .,Marked by clattering,Resembling or characteristic of a clatter.,tgt,DM,0
"The most at - risk bird was the tiny <define> King Island brown thornbill </define> , which was rated as having little more than a 5 % chance of survival under its current level of care .","A subspecies of brown thornbill, Acanthiza pusilla archibaldi, endemic to King Island, Tasmania.","Any of several species of thornbills, of the family Thrasheridae, native to Australia.",tgt,DM,1
"IV A lovely Ladie [ * ] rode him faire beside , Upon a lowly Asse more white then snow , Yet she much whiter , but the same did hide 30 Under a vele , that <define> wimpled </define> was full low , And over all a blacke stole she did throw , As one that inly mournd : so was she sad , And heavie sat upon her palfrey slow ; Seemed in heart some hidden care she had , 35 And by her in a line a milke white lambe she lad .","To draw down; to lower, like a veil.","(intransitive, obsolete) To wimper.",tgt,DM,1
In this regard it must be noted that the PKK operations in Hatay have targeted the Sunni Turkmen that Turkey settled in the province after it was annexed in 1939 in order to <define> Sunnize </define> the region . The bulk of the population in 1939 was comprised of Alawite Arabs as is 10 to 11 percent of Syrian population .,(ambitransitive) To make or become Sunni,(transitive) To convert to the religion of the Sunnis.,tgt,DM,0
The <define> cybercrook </define> has realized that stealing the next version of the Coca - Cola recipe or Windows software is worth more than a $ 10 million heist .,A cybercriminal.,(informal) A criminal who operates in cyberspace.,tgt,DM,0
"It was not in his <define> unyellow </define> soul to go back on his word without refunding the money , and a dollar of it was already spent to the Chinese fund , to say nothing of sundaes and sodas and whips .",(uncommon) Not yellow (in various senses).,Not yellow.,tgt,DM,0
Swann – perhaps muted by the fact that this is all taking place in the middle of the night – is less of the <define> bantersaurus rex </define> that we find on Test Match Special and shows off instead the analytical side of his game .,Alternative letter-case form of Bantersaurus Rex,(colloquial) A person who engages in bantering.,tgt,DM,1
The legal principles deduced from the textual material of the CIC by such leading <define> pandectists </define> as Georg Friedrich Puchta ( 1798–1846 ) and Bernhard Windscheid ( 1817–1892 ) were sometimes used as legal norms in courts of law .,An expert on the Pandects compiled under the Roman emperor Justinian I.,One who studies pandects.,tgt,DM,1
"[ B]efore I left Huddersfield I had the satisfaction of captaining a team which won most of its matches against the leading Yorkshire towns , though Sheffield ' <define> came Yorkshire over </define> us ' by making us play upon the wooden floor of their Drill Hall . The Yorkshire children were almost bilingual . The youngsters talked broad dialect in the playground , yet answered incorrect English in class .","(transitive, UK, slang, obsolete) To cheat or deceive.","(transitive, idiomatic) To cause (someone or something) to feel inferior or inferior.",tgt,DM,1
"Chair Girl was ridiculously spectacular , just like Foucault ’s regicide . Her diminutive <define> Kardashianesque </define> body was a spectacle , no less than Damiens ’ drawing and quartering in Paris .",Characteristic of or resembling the Kardashian family.,Resembling or characteristic of a Kardashian.,tgt,DM,0
a <define> multigeared </define> bicycle,Having more than one gear.,Having more than one handle.,tgt,DM,1
"But this cavern almost measureless to the eye , stuffed as it is with an Eiffel Tower ’s worth of metal , eight - story wheels of gold fan - shape boxes , thousands of miles of wire and fat <define> ductlike </define> coils , echoes with the shriek of power tools , the whine of pumps and cranes , beeps and clanks from wrenches , hammers , screwdrivers and the occasional falling bolt .",Resembling or characteristic of a duct.,Resembling or characteristic of a duct.,tgt,DM,0
"As he passed the drawing - room door he heard Ethel say <define> hesitatingly </define> : "" I - I heard you singing from the verandah . """,In a hesitating manner.,In a hesitating manner.,tgt,DM,0
rescinding both contracts because the cars had <define> redhibitory </define> defects,(legal) Of or pertaining to redhibition (the annulling of a sale).,Of or pertaining to reduction.,tgt,DM,1
"One <define> milblogger </define> who writes anonymously , ( as many do ) , commented in private correspondence with the author :   [ … ]",(Internet) A military service member who writes a blog.,(Internet) A person who blogs at milblogger.,tgt,DM,1
She placed a <define> votive </define> offering at the shrine .,Dedicated or given in fulfillment of a vow or pledge.,Of or pertaining to a votive offering.,tgt,DM,1
"Oh this earth is a <define> mineful </define> of treasure ,","(figuratively) A large amount, particularly of something obtained through mining.",(figuratively) A large amount.,tgt,DM,0
"He was <define> getting wise </define> , so I cracked him one .","(intransitive, slang, often, with ""to"", or, with ""with"") To be impertinent.","(intransitive, idiomatic) To become wiser.",tgt,DM,1
"Where men of ordinary skill , May have the fortune , if they will , To keep in circumstances middling By nothing in the world but piddling ; Hence , with their fancies thus <define> benettled </define> , The future course of life is settled :",(obsolete) To vex or provoke.,"(transitive, obsolete) To settle; to settle; to settle.",tgt,DM,1
"Phil Mickelson , who was the pretournament <define> cofavorite </define> with Woods , struggled to a two - under - par 70 on the North .",A joint favorite to win a sporting event.,(golf) A player who is considered to have a slight chance of winning.,tgt,DM,1
"After realizing on their first date that they were both comedians , Alissa and Juliette immediately formed a <define> twoprov </define> team together .",(comedy) Improv (usually improvisational comedy) performed by a duo.,(informal) A pair of people who are both comedians.,tgt,DM,1
"A German professor always gives good measure , a full <define> hourful </define> , pressed down , shaken together , and running over ; no period of preliminary meditation on what he shall say and of casual conversation at the end , as often in America .",Enough to last an hour.,The amount of time that can be spent in an hour.,tgt,DM,1
"A much more common figure is the merely wrong - headed and cantankerous traveller — and particularly <define> travelleress </define> , if that word may be permitted — who wrangles over everything , and will not recognize the fact that dishonest Custom - house officials , swindling landlords , and irritating police regulations are inevitable evils in foreign parts .",(rare) A female traveller.,A female traveller.,tgt,DM,0
"On firing , some of the hot gases from burning powder were able to bypass the <define> overpowder </define> and filler wads and reach the shot charge .",(firearms) Serving to hold in the gunpowder.,(firearms) Powder that has been added to the charge of a firearm.,tgt,DM,0
"Gibbie held her fast , and with all the ways in his <define> poor power </define> sought to comfort her .",(idiomatic) Limited ability.,(obsolete) Power; authority.,tgt,DM,1
"According to the writer , Monks Farm bore a sinister local reputation , and was about as thoroughly haunted as any place could be , and in order to justify his thesis , he gave an account of its history . [ ... ] The discussion that followed the reading of the paper , and which was recorded in all its wordy fullness , somewhat <define> took the gilt off the gingerbread </define> , however , for it was pointed out by persons familiar with local customs as well as local superstitions , that the empty buildings of Monks Farm had long been a favourite haunt of lovers without benefit of clergy .",(idiomatic) To take away the most attractive or appealing qualities of something; to destroy an illusion.,"(idiomatic, figuratively) To make something less valuable.",tgt,DM,1
"' We 'll drink to a <define> thanksome </define> outcome o that , ' said Lady Magdalen , and they raised their beakers .",Characterised by thankfulness or gratitude,"(archaic, or, dialectal) Thankful.",tgt,DM,0
"The vacuum brake , much <define> beloved </define> by English- ( though not Scottish- ) built or inspired railways , but little favoured elsewhere .","Much loved, dearly loved.",(transitive) To be very fond of.,tgt,DM,1
"Despite the needs , many residents say they love the town for its intimate and <define> unfrenetic </define> feel .",Not frenetic.,Not frenetic.,tgt,DM,0
"Just when I 'm asking myself if it 's worth it to rock the boat and wondering if I should compromise , something will happen to keep me going . Like one year I got an award from a women 's group for , "" exposing the <define> jockocratic </define> values of society . """,Characterized by an excessive veneration of sport and athletes.,Of or pertaining to jocks.,tgt,DM,0
Speakers of the same language <define> coenact </define> meaning .,(transitive) To enact jointly with somebody else.,(transitive) To act in the same way as.,tgt,DM,1
"However , even for these species , <define> thalassochory </define> remains an unlikely dispersal vector due to the reduced floatation capacity and low viability of immersed diaspores .",(biology) Transport or dispersal of organisms by means of the ocean.,(zoology) Of or pertaining to thalassochory.,tgt,DM,0
"When , moreover , we call to mind that the spirits of the dead , who at this season leave their graves and hold high revel with the fairies , seem really indistinguishable from the latter , the conclusion irresistibly forces itself upon us , that in the cult paid to the fairy race we have a survival of the worship of departed souls , or <define> psycholatry </define> as it is sometimes called , which is , so far as we know , one of the oldest religions in the world , even if it be not , as many high authorities maintain , the primitive religion of mankind .",(religion) The worship of departed souls.,(religion) The worship of the dead.,tgt,DM,0
